parameter_id,component,parameter_name,proposed_value,unit,US_source,US_section_or_rule_reference,proposal_status,Basel_equivalent_parameter_id,same_as_Basel,implementation_status,notes
US_APPLICABILITY_CATEGORY_I_II,Applicability,Category I and Category II depository institution holding companies,in_scope,category,US_R1887_FEDERAL_REGISTER,§__.201(b)(1)(i),PROPOSED,not_applicable,NO,CROSSWALK_ONLY,Applies market-risk requirements to depository institution holding companies that are Category I or Category II banking organizations
US_APPLICABILITY_TATL_PERCENT,Applicability,Trading assets plus trading liabilities percentage threshold,10,percent of quarter-end total assets,US_R1887_FEDERAL_REGISTER,§__.201(b)(1)(ii)(A),PROPOSED,not_applicable,NO,CROSSWALK_ONLY,Threshold excludes customer and proprietary broker-dealer reserve bank accounts
US_APPLICABILITY_TATL_DOLLAR,Applicability,Trading assets plus trading liabilities dollar threshold,5000000000,USD average over four most recent quarters,US_R1887_FEDERAL_REGISTER,§__.201(b)(1)(ii)(B),PROPOSED,not_applicable,NO,CROSSWALK_ONLY,Dollar threshold is subject to proposed indexing cross-reference
US_OPTIONAL_ADOPTION,Applicability,Optional adoption by other banking organizations,permitted,rule,US_R1887_OCC,OCC Bulletin 2026-9 summary and Note for Community Banks,PROPOSED,not_applicable,NO,CROSSWALK_ONLY,OCC and FDIC describe optional adoption for other banking organizations
US_STANDARDIZED_MEASURE_FORMULA,Market risk architecture,Standardized measure for market risk,SNCR+DRC+fallback+redesignation_addons,formula,US_R1887_FEDERAL_REGISTER,§__.204(b),PROPOSED,not_applicable,NO,CROSSWALK_ONLY,Standardized measure is not the same label as the project's selected-scope SA total
US_STANDARDIZED_NDCR_COMPONENTS,Standardized non-default capital,Standardized non-default capital requirement,SBM+RRAO,formula,US_R1887_FEDERAL_REGISTER,91 FR 14952 Section V.A.7 and §__.204(b)(1)-(2),PROPOSED,SBM_SCENARIO_MAX_RULE,PARTIAL,CROSSWALK_ONLY,DRC is separate from standardized non-default capital
US_RRAO_EXOTIC_RW,RRAO,Exotic exposure residual risk add-on risk weight,0.01,decimal risk weight,US_R1887_FEDERAL_REGISTER,91 FR 14952 Section V.A.7.i and §__.211(c),PROPOSED,RRAO_RW_EXOTIC_UNDERLYING,YES,CROSSWALK_ONLY,Recorded separately because terminology and scope are U.S. proposed rule text
US_RRAO_OTHER_RW,RRAO,Other residual risk add-on risk weight,0.001,decimal risk weight,US_R1887_FEDERAL_REGISTER,91 FR 14952 Section V.A.7.i and §__.211(c),PROPOSED,RRAO_RW_OTHER_RESIDUAL_RISK,YES,CROSSWALK_ONLY,Barrier example remains an independent U.S. crosswalk item
US_RFQT_MIN_10_20,Risk-factor eligibility,Minimum real price observations for 10- or 20-day liquidity horizon,24,real price observations over prior 12 months,US_R1887_FEDERAL_REGISTER,§__.214(b)(3)(iii)(A),PROPOSED,RFET_ROUTE1_MIN_OBSERVATIONS,PARTIAL,CROSSWALK_ONLY,U.S. proposed quantitative test differs from Basel Route 1/Route 2 structure
US_RFQT_MIN_OTHER,Risk-factor eligibility,Minimum real price observations for other liquidity horizons,16,real price observations over prior 12 months,US_R1887_FEDERAL_REGISTER,§__.214(b)(3)(iii)(A),PROPOSED,not_applicable,NO,CROSSWALK_ONLY,Supplementary example appears to use 8 for one 40-day example; see interpretation notes
US_NMRF_TYPE_B_RHO,NMRF SES,Type B non-modellable risk factor aggregation parameter rb,0.36,decimal parameter,US_R1887_FEDERAL_REGISTER,§__.215(d)(2),PROPOSED,PHASE8_SES_RHO,NO,CROSSWALK_ONLY,Separate from Basel MAR33.17 rho 0.6 used by Phase 8
