gap_id,US_proposed_component,project_current_component,status,severity,why_it_matters,would_require_code_change,recommended_project_action,source,notes
US-GAP-001,Models-based NDCR architecture,Phase 8 selected IMCC/SES and routing,DIFFERENT_METHODOLOGY,HIGH,"U.S. proposed NDCR uses IMA_G,A plus SA_all_desks minus SA_G,A; Phase 8 does not prove numeric equivalence",true,Keep Phase 9 crosswalk-only; a future U.S. implementation would need a separate NDCR engine,US_R1887_FEDERAL_REGISTER §__.204(c),Required high-priority gap
US-GAP-002,Type A / Type B NMRF,Phase 6 NMRF_CANDIDATE and Phase 8 selected SES,DIFFERENT_METHODOLOGY,HIGH,U.S. proposed NMRF taxonomy and SES aggregation are not Basel MAR33.17 as implemented,true,Create a future U.S.-proposal NMRF classifier and SES branch only if Phase 10+ scope changes,US_R1887_FEDERAL_REGISTER §__.215(d),Required high-priority gap
US-GAP-003,U.S. NMRF aggregation parameter rb,Phase 8 Basel SES rho 0.6,DIFFERENT_METHODOLOGY,HIGH,Using Basel rho for U.S. Type B NMRFs would misstate the proposal,true,Keep U.S. rb in separate register and never load it into configs/ima,US_R1887_FEDERAL_REGISTER §__.215(d)(2),Required high-priority gap
US-GAP-004,Desk backtesting mechanics,Phase 7 Basel MAR32 threshold_status,PARTIALLY_SUPPORTED,HIGH,U.S. proposed text is independently sourced and includes re-eligibility and short-history proration details not implemented,true,Do not change Phase 7; future U.S. variant would need a separate evaluator,US_R1887_FEDERAL_REGISTER §__.213(b)(3)-(5),Required high-priority gap
US-GAP-005,Fallback capital requirement,Phase 8 simulated SA fallback routing,NOT_IMPLEMENTED,HIGH,U.S. fallback capital is for uncalculable positions and differs from model-ineligible standardized treatment,true,Keep glossary distinction; future U.S. implementation would need uncalculable-position handling,US_R1887_FEDERAL_REGISTER §__.204(e),Required high-priority gap
US-GAP-006,Applicability thresholds,Synthetic educational portfolio,NOT_IMPLEMENTED,HIGH,U.S. proposal applies to institution categories and trading-activity thresholds; the project has no bank balance-sheet scope,true,Document only; do not imply covered-institution applicability,US_R1887_FEDERAL_REGISTER §__.201(b)(1),Required high-priority gap
US-GAP-007,Final U.S. market-risk measure aggregation,Phase 8 final aggregate NOT_CALCULATED,NOT_IMPLEMENTED,HIGH,U.S. standardized and models-based measures include components not implemented by the project,true,Do not produce a U.S. capital number,US_R1887_FEDERAL_REGISTER §__.204(b)-(c),Required high-priority gap
US-GAP-008,Standardized non-default capital,Selected-scope SA total including DRC,DIFFERENT_METHODOLOGY,MEDIUM,The U.S. standardized non-default component is SBM plus RRAO while DRC is separate,false,Rename nothing; explain architecture in report,US_R1887_FEDERAL_REGISTER §__.204(b),No U.S. standardized non-default amount calculated
US-GAP-009,RRAO exclusions and supervisor determinations,Phase 4 Basel selected RRAO classifier,PARTIALLY_SUPPORTED,MEDIUM,U.S. proposed RRAO has explicit exclusions and agency-determination language not in the selected Basel classifier,true,Keep barrier example as crosswalk-only,US_R1887_FEDERAL_REGISTER §__.211,No U.S. amount calculated
US-GAP-010,Risk-factor qualitative and quantitative tests,Phase 6 simulated Basel RFET,DIFFERENT_METHODOLOGY,HIGH,U.S. proposed risk-factor tests differ from Basel RFET Route 1 / Route 2 and include third-party data controls,true,Future U.S. implementation needs separate risk-factor eligibility module,US_R1887_FEDERAL_REGISTER §__.214(b),Source ambiguity documented for observation minimum example
US-GAP-011,Reporting and public disclosure,No reporting module,OUT_OF_SCOPE,LOW,U.S. proposal includes reporting and disclosure obligations not relevant to this lab,true,Leave out of scope until release/reporting phase,US_R1887_FEDERAL_REGISTER §__.217,Documentation only
